0.000000	0.698132	0.698132
0.010000	0.697816	0.697789
0.020000	0.696871	0.696762
0.030000	0.695296	0.695052
0.040000	0.693092	0.692660
0.050000	0.690262	0.689588
0.060000	0.686807	0.685840
0.070000	0.682730	0.681420
0.080000	0.678034	0.676330
0.090000	0.672723	0.670578
0.100000	0.666801	0.664167
0.110000	0.660272	0.657105
0.120000	0.653141	0.649399
0.130000	0.645415	0.641056
0.140000	0.637098	0.632083
0.150000	0.628198	0.622491
0.160000	0.618721	0.612288
0.170000	0.608675	0.601484
0.180000	0.598068	0.590091
0.190000	0.586910	0.578119
0.200000	0.575207	0.565579
0.210000	0.562972	0.552485
0.220000	0.550212	0.538849
0.230000	0.536940	0.524684
0.240000	0.523166	0.510004
0.250000	0.508902	0.494825
0.260000	0.494160	0.479160
0.270000	0.478953	0.463025
0.280000	0.463294	0.446435
0.290000	0.447196	0.429408
0.300000	0.430675	0.411960
0.310000	0.413743	0.394107
0.320000	0.396418	0.375868
0.330000	0.378713	0.357260
0.340000	0.360646	0.338302
0.350000	0.342233	0.319012
0.360000	0.323491	0.299409
0.370000	0.304437	0.279512
0.380000	0.285089	0.259341
0.390000	0.265464	0.238916
0.400000	0.245583	0.218256
0.410000	0.225463	0.197382
0.420000	0.205124	0.176315
0.430000	0.184585	0.155075
0.440000	0.163866	0.133682
0.450000	0.142987	0.112159
0.460000	0.121968	0.090525
0.470000	0.100830	0.068803
0.480000	0.079593	0.047013
0.490000	0.058278	0.025177
0.500000	0.036907	0.003316
0.510000	0.015498	-0.018548
0.520000	-0.005925	-0.040393
0.530000	-0.027343	-0.062199
0.540000	-0.048733	-0.083945
0.550000	-0.070076	-0.105607
0.560000	-0.091351	-0.127166
0.570000	-0.112535	-0.148601
0.580000	-0.133610	-0.169890
0.590000	-0.154554	-0.191012
0.600000	-0.175347	-0.211946
0.610000	-0.195969	-0.232673
0.620000	-0.216400	-0.253171
0.630000	-0.236620	-0.273422
0.640000	-0.256610	-0.293404
0.650000	-0.276352	-0.313098
0.660000	-0.295825	-0.332485
0.670000	-0.315013	-0.351546
0.680000	-0.333897	-0.370262
0.690000	-0.352459	-0.388615
0.700000	-0.370683	-0.406586
0.710000	-0.388552	-0.424159
0.720000	-0.406049	-0.441316
0.730000	-0.423158	-0.458040
0.740000	-0.439865	-0.474314
0.750000	-0.456153	-0.490124
0.760000	-0.472010	-0.505452
0.770000	-0.487421	-0.520285
0.780000	-0.502373	-0.534607
0.790000	-0.516852	-0.548405
0.800000	-0.530846	-0.561665
0.810000	-0.544344	-0.574374
0.820000	-0.557334	-0.586520
0.830000	-0.569805	-0.598090
0.840000	-0.581747	-0.609074
0.850000	-0.593149	-0.619460
